Product\Feature,BankAccount,DailyLimit,Interest,InterestEstimation,Overdraft,CreditWorthiness,Lock,Transaction,__TEST_OUTPUT__
model_m_ca4_0001,  T  ,  F  ,  F  ,  F  ,  F  ,  F  ,  F  ,  F  ,__PASSED__
model_m_ca4_0002,  T  ,  T  ,  F  ,  F  ,  T  ,  T  ,  T  ,  T  ,__FAILED__
model_m_ca4_0003,  T  ,  F  ,  T  ,  T  ,  T  ,  T  ,  T  ,  T  ,__FAILED__
model_m_ca4_0004,  T  ,  T  ,  T  ,  T  ,  F  ,  F  ,  T  ,  T  ,__FAILED__
model_m_ca4_0005,  T  ,  T  ,  T  ,  F  ,  T  ,  T  ,  F  ,  F  ,__FAILED__
model_m_ca4_0006,  T  ,  F  ,  F  ,  F  ,  T  ,  T  ,  T  ,  T  ,__FAILED__
model_m_ca4_0007,  T  ,  T  ,  F  ,  F  ,  F  ,  F  ,  T  ,  T  ,__FAILED__
model_m_ca4_0008,  T  ,  T  ,  T  ,  T  ,  T  ,  F  ,  F  ,  F  ,__FAILED__
model_m_ca4_0009,  T  ,  T  ,  F  ,  F  ,  T  ,  T  ,  F  ,  F  ,__FAILED__
model_m_ca4_0010,  T  ,  F  ,  T  ,  T  ,  F  ,  F  ,  T  ,  T  ,__PASSED__
model_m_ca4_0011,  T  ,  F  ,  T  ,  F  ,  T  ,  T  ,  F  ,  F  ,__FAILED__
model_m_ca4_0012,  T  ,  F  ,  F  ,  F  ,  T  ,  F  ,  T  ,  F  ,__FAILED__
model_m_ca4_0013,  T  ,  F  ,  F  ,  F  ,  F  ,  T  ,  F  ,  F  ,__FAILED__
model_m_ca4_0014,  T  ,  T  ,  F  ,  F  ,  F  ,  F  ,  F  ,  F  ,__FAILED__
model_m_ca4_0015,  T  ,  F  ,  T  ,  F  ,  F  ,  F  ,  F  ,  F  ,__PASSED__
model_m_ca4_0016,  T  ,  T  ,  T  ,  T  ,  F  ,  T  ,  T  ,  F  ,__FAILED__
model_m_ca4_0017,  T  ,  T  ,  T  ,  F  ,  T  ,  F  ,  T  ,  T  ,__FAILED__
model_m_ca4_0018,  T  ,  F  ,  T  ,  F  ,  F  ,  F  ,  T  ,  F  ,__PASSED__
model_m_ca4_0019,  T  ,  T  ,  F  ,  F  ,  T  ,  T  ,  T  ,  F  ,__FAILED__
model_m_ca4_0020,  T  ,  T  ,  T  ,  F  ,  F  ,  T  ,  T  ,  T  ,__FAILED__
model_m_ca4_0021,  T  ,  F  ,  T  ,  T  ,  F  ,  F  ,  F  ,  F  ,__FAILED__
model_m_ca4_0022,  T  ,  F  ,  F  ,  F  ,  F  ,  T  ,  T  ,  T  ,__FAILED__
model_m_ca4_0023,  T  ,  F  ,  T  ,  T  ,  T  ,  F  ,  T  ,  T  ,__FAILED__
model_m_ca4_0024,  T  ,  F  ,  T  ,  T  ,  T  ,  T  ,  F  ,  F  ,__PASSED__
model_m_ca4_0025,  T  ,  T  ,  T  ,  T  ,  F  ,  T  ,  F  ,  F  ,__PASSED__
model_m_ca4_0026,  T  ,  T  ,  T  ,  T  ,  T  ,  F  ,  T  ,  F  ,__FAILED__
model_m_ca4_0027,  T  ,  T  ,  F  ,  F  ,  F  ,  T  ,  T  ,  F  ,__FAILED__
model_m_ca4_0028,  T  ,  T  ,  T  ,  T  ,  T  ,  T  ,  T  ,  T  ,__PASSED__
model_m_ca4_0029,  T  ,  F  ,  T  ,  T  ,  F  ,  T  ,  T  ,  F  ,__FAILED__
model_m_ca4_0030,  T  ,  T  ,  F  ,  F  ,  T  ,  F  ,  T  ,  T  ,__FAILED__
model_m_ca4_0031,  T  ,  F  ,  F  ,  F  ,  T  ,  F  ,  F  ,  F  ,__FAILED__
model_m_ca4_0032,  T  ,  F  ,  T  ,  F  ,  F  ,  F  ,  T  ,  T  ,__PASSED__
model_m_ca4_0033,  T  ,  F  ,  F  ,  F  ,  F  ,  F  ,  T  ,  T  ,__PASSED__
model_m_ca4_0034,  T  ,  F  ,  T  ,  T  ,  F  ,  T  ,  T  ,  T  ,__FAILED__
