,0
0,"[3, 133, 2359, 22549, 130434, 543303, 1662821]"
1,1178.027096271515
2,"[3, 130, 2186, 19896, 109893, 449713, 1377733]"
3,1271.506690979004
4,"[12, 369, 4354, 29639, 137461, 475963, 1291417]"
5,514.6479940414429
6,"[3, 131, 2281, 20647, 109933, 417283, 1176557]"
7,949.680593252182
8,"[13, 387, 4773, 34223, 165587, 610236, 1753777]"
9,1900.329498052597
10,"[3, 136, 2394, 22184, 120075, 472664, 1367964]"
11,1110.7702150344849
12,"[3, 137, 2358, 21330, 116144, 460793, 1339987]"
13,811.5628793239594
14,"[13, 372, 4025, 25084, 107135, 345819, 880125]"
15,294.4713068008423
16,"[3, 134, 2270, 18533, 87897, 302984, 783770]"
17,549.7380666732788
18,"[12, 338, 3808, 24110, 99904, 309500, 744842]"
19,482.5524697303772
20,"[16, 255, 1898, 9328, 31489, 88927, 191804]"
21,103.63236832618713
22,"[4, 155, 2086, 14861, 66517, 222893, 571002]"
23,417.1972596645355
24,"[3, 129, 2106, 17633, 89061, 325507, 888973]"
25,806.8946917057037
26,"[13, 380, 4411, 30013, 140077, 494752, 1388703]"
27,1076.641875743866
28,"[6, 221, 2999, 22425, 110168, 396617, 1109750]"
29,752.6911909580231
30,"[1, 48, 851, 7527, 41142, 163379, 491130]"
31,63.773016929626465
32,"[15, 409, 4964, 36318, 172910, 655212, 1932657]"
33,1672.8609762191772
34,"[3, 133, 2364, 22183, 124526, 493422, 1425349]"
35,959.5128209590912
36,"[21, 210, 1330, 5985, 20349, 54264, 116280]"
37,77.5948576927185
38,"[14, 231, 1613, 7131, 22738, 55585, 107621]"
39,79.16215753555298
40,"[3, 141, 2615, 25314, 140933, 576978, 1723618]"
41,528.5520935058594
42,"[13, 372, 4025, 25084, 107135, 345819, 880125]"
43,298.25486063957214
44,"[3, 104, 1271, 8898, 40833, 138888, 363480]"
45,231.30203437805176
46,"[13, 372, 4025, 25084, 107135, 345819, 880125]"
47,298.2298595905304
48,"[5, 210, 3346, 26765, 129611, 442067, 1126505]"
49,371.5835151672363
50,"[3, 137, 2394, 22217, 122990, 503551, 1508190]"
51,965.7295210361481
52,"[14, 323, 2677, 13564, 49372, 140714, 324441]"
53,155.83456158638
54,"[9, 223, 1811, 8623, 29136, 75627, 156747]"
55,136.71451210975647
56,"[3, 130, 2186, 19896, 109893, 449713, 1377733]"
57,1305.5233278274536
58,"[3, 137, 2361, 21492, 117989, 469092, 1366151]"
59,783.793886423111
60,"[5, 181, 2311, 14017, 51458, 139565, 291023]"
61,1.3968429565429688
62,"[3, 134, 2370, 21790, 118142, 458498, 1293796]"
63,887.9699783325195
64,"[13, 349, 3607, 22283, 90966, 303111, 785643]"
65,272.27821826934814
66,"[8, 256, 2762, 16148, 62926, 183621, 421167]"
67,332.8808937072754
68,"[3, 137, 2361, 21492, 117989, 469092, 1366151]"
69,797.5795028209686
70,"[3, 135, 2351, 21927, 122937, 499619, 1481990]"
71,1504.9852046966553
72,"[11, 207, 1361, 5486, 15828, 35056, 61804]"
73,32.03013896942139
74,"[13, 394, 4698, 32519, 137227, 477646, 1280750]"
75,743.618882894516
76,"[3, 136, 2355, 21874, 120745, 491059, 1477414]"
77,1286.7854444980621
78,"[3, 134, 2280, 19355, 96113, 343232, 914676]"
79,752.3170952796936
80,"[4, 160, 2502, 20786, 104419, 375887, 1010048]"
81,888.9683935642242
82,"[19, 381, 3319, 18760, 77418, 252493, 659787]"
83,357.22801446914673
84,"[16, 417, 4535, 30071, 123142, 425928, 1148065]"
85,282.4173934459686
86,"[11, 55, 165, 330, 462, 462, 330]"
87,0.7890162467956543
88,"[8, 303, 4491, 36370, 186070, 695907, 1961750]"
89,1524.3473393917084
90,"[13, 372, 4025, 25084, 107135, 345819, 880125]"
91,294.49717473983765
92,"[3, 137, 2361, 21492, 117989, 469092, 1366151]"
93,780.369663476944
94,"[8, 303, 4491, 36370, 186070, 695907, 1961750]"
95,1507.935864686966
96,"[13, 349, 3607, 22283, 90966, 303111, 785643]"
97,271.8598313331604
98,"[3, 130, 2269, 20741, 113007, 442060, 1277737]"
99,1184.4118421077728
100,"[3, 137, 2361, 21492, 117989, 469092, 1366151]"
101,772.5221703052521
102,"[20, 387, 3630, 22481, 102756, 366088, 1044843]"
103,581.9048130512238
104,"[3, 137, 2361, 21492, 117989, 469092, 1366151]"
105,785.7128899097443
106,"[19, 395, 3864, 24254, 109770, 384332, 1069595]"
107,833.8815732002258
108,"[15, 388, 4160, 26732, 111919, 380907, 1003304]"
109,652.0565547943115
110,"[13, 378, 4284, 28149, 115911, 389562, 1020441]"
111,259.1926302909851
112,"[3, 133, 2296, 20741, 113533, 446573, 1295351]"
113,1361.1429047584534
114,"[3, 134, 2241, 19785, 105381, 417423, 1246470]"
115,811.3192567825317
116,"[13, 343, 3729, 25048, 118177, 425438, 1208249]"
117,478.8302640914917
118,"[22, 283, 2151, 11674, 41342, 130438, 329885]"
119,134.9449405670166
120,"[3, 136, 2385, 22250, 123178, 496065, 1473701]"
121,1099.0230193138123
122,"[5, 181, 2391, 17164, 80311, 280748, 761081]"
123,452.49339056015015
124,"[16, 294, 2072, 9084, 28965, 71943, 144238]"
125,120.46879768371582
126,"[13, 387, 4773, 34223, 165587, 610236, 1753777]"
127,1899.5654919147491
128,"[8, 239, 2839, 19080, 85674, 284447, 732356]"
129,549.9624869823456
130,"[3, 134, 2369, 21736, 117954, 456488, 1288921]"
131,843.9462575912476
132,"[3, 132, 2220, 20229, 110255, 448122, 1355733]"
133,1323.0643780231476
134,"[3, 137, 2376, 21966, 122983, 503513, 1514067]"
135,905.4165799617767
136,"[3, 133, 2344, 22404, 130731, 555892, 1741145]"
137,1277.0286984443665
138,"[3, 136, 2399, 22644, 125994, 510630, 1523573]"
139,1264.7102081775665
140,"[3, 133, 2355, 21724, 119345, 469143, 1345978]"
141,892.8483774662018
142,"[3, 136, 2397, 22935, 133778, 567496, 1765997]"
143,1253.2896201610565
144,"[13, 349, 3607, 22283, 90966, 303111, 785643]"
145,270.26294207572937
146,"[1, 48, 959, 10203, 64632, 287499, 931422]"
147,724.9411249160767
148,"[3, 134, 2321, 20106, 101090, 363900, 967915]"
149,748.763035774231
150,"[12, 370, 4293, 27738, 120533, 388242, 978972]"
151,351.31375074386597
152,"[16, 402, 4200, 26769, 120035, 410080, 1110339]"
153,268.14921259880066
154,"[4, 161, 2366, 18109, 85075, 296001, 782411]"
155,595.2135977745056
