,0
0,"[4, 6, 4, 1, 0, 0, 0]"
1,0.1752941608428955
2,"[2, 27, 99, 163, 154, 93, 37]"
3,0.16550040245056152
4,"[4, 6, 4, 1, 0, 0, 0]"
5,0.17213869094848633
6,"[6, 45, 155, 325, 461, 462, 330]"
7,0.18093276023864746
8,"[0, 0, 0, 0, 0, 0, 0]"
9,0.16993498802185059
10,"[0, 0, 0, 0, 0, 0, 0]"
11,0.18223905563354492
12,"[0, 0, 0, 0, 0, 0, 0]"
13,0.16832756996154785
14,"[4, 6, 4, 1, 0, 0, 0]"
15,0.1714470386505127
16,"[2, 1, 0, 0, 0, 0, 0]"
17,0.17950105667114258
18,"[8, 28, 56, 70, 56, 28, 8]"
19,0.15928173065185547
20,"[11, 50, 120, 185, 196, 140, 64]"
21,0.16415619850158691
22,"[8, 37, 61, 54, 28, 8, 1]"
23,0.16489577293395996
24,"[0, 0, 0, 0, 0, 0, 0]"
25,0.14789128303527832
26,"[6, 45, 155, 325, 461, 462, 330]"
27,0.1939525604248047
28,"[2, 23, 61, 85, 70, 34, 9]"
29,0.17164278030395508
30,"[3, 15, 31, 34, 21, 7, 1]"
31,0.16851115226745605
32,"[2, 27, 99, 163, 154, 93, 37]"
33,0.17441082000732422
34,"[2, 27, 99, 163, 154, 93, 37]"
35,0.16524124145507812
36,"[4, 6, 4, 1, 0, 0, 0]"
37,0.17008519172668457
38,"[5, 20, 35, 35, 21, 7, 1]"
39,0.1605374813079834
40,"[2, 27, 99, 163, 154, 93, 37]"
41,0.1727149486541748
42,"[8, 37, 61, 54, 28, 8, 1]"
43,0.15874409675598145
44,"[0, 0, 0, 0, 0, 0, 0]"
45,0.17062926292419434
46,"[2, 27, 99, 163, 154, 93, 37]"
47,0.14705801010131836
48,"[2, 27, 99, 163, 154, 93, 37]"
49,0.17714262008666992
50,"[2, 28, 146, 400, 668, 756, 588]"
51,0.3875312805175781
52,"[4, 6, 4, 1, 0, 0, 0]"
53,0.1808028221130371
54,"[2, 27, 99, 163, 154, 93, 37]"
55,0.17577457427978516
56,"[8, 37, 61, 54, 28, 8, 1]"
57,0.157637357711792
58,"[8, 37, 61, 54, 28, 8, 1]"
59,0.17217731475830078
60,"[6, 45, 155, 325, 461, 462, 330]"
61,0.1806173324584961
62,"[6, 45, 155, 325, 461, 462, 330]"
63,0.1876823902130127
64,"[2, 1, 0, 0, 0, 0, 0]"
65,0.18741250038146973
66,"[2, 27, 99, 163, 154, 93, 37]"
67,0.16698193550109863
68,"[0, 0, 0, 0, 0, 0, 0]"
69,0.19301104545593262
70,"[7, 42, 119, 210, 252, 210, 120]"
71,0.23419833183288574
72,"[4, 6, 4, 1, 0, 0, 0]"
73,0.17187833786010742
74,"[2, 27, 99, 163, 154, 93, 37]"
75,0.17554092407226562
76,"[2, 1, 0, 0, 0, 0, 0]"
77,0.1848764419555664
78,"[3, 36, 127, 275, 412, 435, 322]"
79,0.2723093032836914
80,"[11, 50, 120, 185, 196, 140, 64]"
81,0.17490839958190918
82,"[6, 45, 155, 325, 461, 462, 330]"
83,0.1816418170928955
84,"[2, 23, 61, 85, 70, 34, 9]"
85,0.18361234664916992
86,"[2, 33, 130, 295, 441, 455, 329]"
87,0.31069064140319824
88,"[2, 27, 99, 163, 154, 93, 37]"
89,0.18735384941101074
90,"[4, 6, 4, 1, 0, 0, 0]"
91,0.14852404594421387
92,"[0, 0, 0, 0, 0, 0, 0]"
93,0.17800068855285645
94,"[1, 14, 43, 76, 85, 62, 29]"
95,0.18863797187805176
96,"[6, 45, 155, 325, 461, 462, 330]"
97,0.1922287940979004
98,"[11, 50, 120, 185, 196, 140, 64]"
99,0.16521191596984863
100,"[2, 27, 99, 163, 154, 93, 37]"
101,0.1744067668914795
102,"[2, 27, 99, 163, 154, 93, 37]"
103,0.16542387008666992
104,"[2, 27, 99, 163, 154, 93, 37]"
105,0.1788945198059082
106,"[7, 42, 119, 210, 252, 210, 120]"
107,0.2290782928466797
108,"[1, 14, 43, 76, 85, 62, 29]"
109,0.20286846160888672
