,1Jie,2Jie,3Jie,4Jie,5Jie,6Jie,7Jie
0,1,13,42,70,70,42,14
1,8,26,45,44,24,7,1
2,8,26,45,44,24,7,1
3,7,21,35,35,21,7,1
4,0,0,0,0,0,0,0
5,2,23,67,83,60,24,4
6,5,30,65,80,61,29,8
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,3,33,121,211,201,109,32
10,3,33,121,211,201,109,32
11,0,0,0,0,0,0,0
12,8,26,45,44,24,7,1
13,0,0,0,0,0,0,0
14,8,28,56,70,56,28,8
15,0,0,0,0,0,0,0
16,3,33,118,208,200,109,32
17,8,26,45,44,24,7,1
18,1,14,63,113,109,63,21
19,3,33,118,208,200,109,32
20,3,30,107,168,127,55,12
21,3,33,121,211,201,109,32
22,3,27,87,141,123,62,17
23,7,21,35,35,21,7,1
24,0,0,0,0,0,0,0
25,3,33,121,211,201,109,32
26,3,26,77,113,96,50,15
27,3,33,121,211,201,109,32
28,4,30,64,69,42,14,2
29,8,26,45,44,24,7,1
30,8,26,45,44,24,7,1
31,7,21,35,35,21,7,1
32,0,0,0,0,0,0,0
33,3,33,118,208,200,109,32
34,8,26,45,44,24,7,1
35,1,13,57,111,115,68,22
