,1Jie,2Jie,3Jie,4Jie,5Jie,6Jie,7Jie
0,7,21,35,35,21,7,1
1,7,21,35,35,21,7,1
2,3,3,1,0,0,0,0
3,7,21,35,35,21,7,1
4,7,21,35,35,21,7,1
5,3,4,1,0,0,0,0
6,7,21,35,35,21,7,1
7,7,21,35,35,21,7,1
8,4,6,4,1,0,0,0
9,7,21,35,35,21,7,1
10,3,4,1,0,0,0,0
11,7,21,35,35,21,7,1
12,3,3,1,0,0,0,0
13,3,3,1,0,0,0,0
14,4,6,4,1,0,0,0
15,4,6,4,1,0,0,0
16,7,21,35,35,21,7,1
17,3,3,1,0,0,0,0
18,3,3,1,0,0,0,0
19,3,3,1,0,0,0,0
20,3,3,1,0,0,0,0
21,7,21,35,35,21,7,1
22,3,3,1,0,0,0,0
23,3,3,1,0,0,0,0
24,4,14,20,15,6,1,0
25,3,3,1,0,0,0,0
26,4,10,6,1,0,0,0
27,3,3,1,0,0,0,0
28,3,3,1,0,0,0,0
29,7,21,35,35,21,7,1
30,7,21,35,35,21,7,1
31,3,4,1,0,0,0,0
32,7,21,35,35,21,7,1
33,3,3,1,0,0,0,0
34,7,21,35,35,21,7,1
35,7,21,35,35,21,7,1
36,7,21,35,35,21,7,1
37,3,3,1,0,0,0,0
38,4,6,4,1,0,0,0
39,7,21,35,35,21,7,1
40,7,21,35,35,21,7,1
41,3,3,1,0,0,0,0
42,3,3,1,0,0,0,0
43,3,3,1,0,0,0,0
44,3,3,1,0,0,0,0
45,4,14,20,15,6,1,0
46,3,4,1,0,0,0,0
47,3,3,1,0,0,0,0
48,7,21,35,35,21,7,1
