,1Jie,2Jie,3Jie,4Jie,5Jie,6Jie,7Jie
0,3,136,2408,23335,134406,558991,1727901
1,3,132,2192,20025,112831,462463,1423105
2,12,372,4421,30446,140088,488340,1330716
3,3,133,2324,21393,112766,432223,1238100
4,13,388,4825,34996,168325,628434,1808983
5,3,137,2416,22680,124894,485813,1415479
6,3,137,2358,21738,119016,467167,1354983
7,13,375,4051,25227,107787,351074,889931
8,3,135,2284,18739,89633,305127,787406
9,12,339,3800,23977,99614,307645,739834
10,16,250,1823,8848,31374,87897,190608
11,4,156,2130,15283,68773,228754,585950
12,3,134,2166,18024,90990,329367,901474
13,13,381,4423,30072,140623,496655,1389137
14,6,225,3100,23386,111282,397692,1111065
15,1,48,842,7427,41126,162955,489722
16,15,401,4818,35279,171995,661246,1957413
17,3,135,2400,22820,127199,501967,1457030
18,21,210,1330,5985,20349,54264,116280
19,14,232,1623,7185,22900,55951,108164
20,3,142,2599,25390,144772,586317,1763369
21,13,375,4051,25227,107787,351074,889931
22,3,106,1284,8907,40844,137799,360573
23,13,375,4051,25227,107787,351074,889931
24,5,211,3371,26927,129931,443491,1128518
25,3,137,2376,22377,125561,508956,1524700
26,14,326,2703,13655,49458,140895,324657
27,9,223,1815,8647,29174,75696,156802
28,3,132,2192,20025,112831,462463,1423105
29,3,136,2343,21797,120615,476178,1387670
30,5,180,2278,13901,51938,139768,291779
31,3,137,2399,22235,120649,467250,1328927
32,13,350,3579,21753,90251,293237,738628
33,8,260,2820,16491,63684,186224,430153
34,3,136,2343,21797,120615,476178,1387670
35,3,135,2352,22274,126400,507659,1517548
36,11,207,1362,5492,15828,35056,61804
37,13,382,4459,30470,137321,473135,1266935
38,3,137,2388,22409,124660,500372,1508195
39,3,136,2314,19637,98454,349359,930848
40,4,160,2503,20920,106422,380409,1022857
41,19,382,3343,18961,78237,254308,664773
42,16,408,4275,27187,121328,409535,1087822
43,11,55,165,330,462,462,330
44,8,299,4431,36345,187377,703026,1974873
45,13,375,4051,25227,107787,351074,889931
46,3,136,2343,21797,120615,476178,1387670
47,8,299,4431,36345,187377,703026,1974873
48,13,350,3579,21753,90251,293237,738628
49,3,132,2308,21375,116185,450815,1303869
50,3,136,2343,21797,120615,476178,1387670
51,20,388,3664,22886,104590,373505,1065958
52,3,136,2343,21797,120615,476178,1387670
53,19,397,3911,24703,111854,393492,1095427
54,15,383,4055,25709,110718,370277,967446
55,13,368,4074,26274,114211,383294,1002324
56,3,138,2354,21239,115383,448525,1298313
57,3,136,2266,20094,107072,420678,1258840
58,13,342,3701,24897,116870,424467,1212170
59,22,276,2019,10519,41462,128711,322142
60,3,138,2416,22719,126226,501809,1496700
61,5,183,2392,17133,80336,280171,759933
62,16,296,2099,9239,29194,71932,144188
63,13,388,4825,34996,168325,628434,1808983
64,8,239,2861,19462,87017,290195,749751
65,3,137,2411,22420,121677,466570,1321247
66,3,133,2230,20312,112661,456157,1384943
67,3,136,2355,22212,125479,509281,1532805
68,3,136,2392,23215,135022,571465,1808642
69,3,138,2447,23295,130500,522848,1567863
70,3,137,2400,22495,123909,484965,1402590
71,3,137,2423,23682,137392,579428,1808207
72,13,350,3579,21753,90251,293237,738628
73,1,48,948,10086,64635,286080,927223
74,3,135,2330,20339,103285,367010,973347
75,12,374,4378,28590,123378,400548,1015169
76,16,401,4172,26556,119645,410190,1111977
77,4,161,2365,18121,86593,299864,793869
78,19,171,969,3876,11628,27132,50388
79,12,374,4378,28590,123378,400548,1015169
80,16,409,4698,32694,155410,577322,1666535
81,13,368,4074,26274,114211,383294,1002324
82,12,346,4121,27614,119275,378571,922544
83,15,338,3131,17225,65352,190126,439364
84,3,123,1811,13908,65664,226245,585496
85,3,136,2343,21797,120615,476178,1387670
86,17,136,680,2380,6188,12376,19448
87,13,368,4074,26274,114211,383294,1002324
88,13,373,4404,31554,150463,586606,1788106
89,5,208,3335,28098,145860,545231,1512591
90,3,135,2231,18477,91295,322863,869396
91,23,333,2573,13834,55670,174762,439926
92,13,332,3300,19686,82461,265155,671759
93,17,328,2652,13822,51282,149466,353749
94,3,135,2278,19689,100940,364401,991661
95,17,359,3092,16353,61982,180514,419642
96,13,368,4074,26274,114211,383294,1002324
97,18,397,3889,23641,101362,337069,893119
98,8,239,2861,19462,87017,290195,749751
99,3,137,2425,23008,129909,522969,1559022
100,3,135,2340,21891,120856,474681,1368434
101,13,375,4051,25227,107787,351074,889931
102,23,333,2573,13834,55670,174762,439926
103,19,375,3338,19488,82501,275756,741136
104,13,387,4579,31398,143884,503567,1374806
