,1Jie,2Jie,3Jie,4Jie,5Jie,6Jie,7Jie
0,4,6,4,1,0,0,0
1,2,27,99,163,154,93,37
2,4,6,4,1,0,0,0
3,6,45,155,325,461,462,330
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,4,6,4,1,0,0,0
8,2,1,0,0,0,0,0
9,8,28,56,70,56,28,8
10,11,50,120,185,196,140,64
11,8,37,62,55,28,8,1
12,0,0,0,0,0,0,0
13,6,45,155,325,461,462,330
14,2,23,61,85,70,34,9
15,3,15,31,34,21,7,1
16,2,27,99,163,154,93,37
17,2,27,99,163,154,93,37
18,4,6,4,1,0,0,0
19,5,20,35,35,21,7,1
20,2,27,99,163,154,93,37
21,8,37,62,55,28,8,1
22,0,0,0,0,0,0,0
23,2,27,99,163,154,93,37
24,2,27,99,163,154,93,37
25,2,27,137,378,652,749,587
26,4,6,4,1,0,0,0
27,2,27,99,163,154,93,37
28,8,37,62,55,28,8,1
29,8,37,62,55,28,8,1
30,6,45,155,325,461,462,330
31,6,45,155,325,461,462,330
32,2,1,0,0,0,0,0
33,2,27,99,163,154,93,37
34,0,0,0,0,0,0,0
35,7,42,119,210,252,210,120
36,4,6,4,1,0,0,0
37,2,27,99,163,154,93,37
38,2,1,0,0,0,0,0
39,3,36,127,275,412,435,322
40,11,50,120,185,196,140,64
41,6,45,155,325,461,462,330
42,2,23,61,85,70,34,9
43,2,33,130,295,441,455,329
44,2,27,99,163,154,93,37
45,4,6,4,1,0,0,0
46,0,0,0,0,0,0,0
47,1,14,43,76,85,62,29
48,6,45,155,325,461,462,330
49,11,50,120,185,196,140,64
50,2,27,99,163,154,93,37
51,2,27,99,163,154,93,37
52,2,27,99,163,154,93,37
53,7,42,119,210,252,210,120
54,1,14,43,76,85,62,29
