,0
0,0.0
1,0.65
2,0.0
3,0.875
4,0.7142857142857143
5,0.4666666666666667
6,0.4444444444444444
7,0.0
8,0.0
9,0.0
10,0.375
11,0.7727272727272727
12,0.0
13,0.875
14,0.8125
15,0.6666666666666666
16,0.65
17,0.65
18,0.0
19,0.6666666666666666
20,0.65
21,0.7727272727272727
22,0.0
23,0.65
24,0.65
25,0.3333333333333333
26,0.0
27,0.65
28,0.7727272727272727
29,0.7727272727272727
30,0.875
31,0.875
32,0.0
33,0.65
34,0.3333333333333333
35,0.8
36,0.0
37,0.65
38,0.0
39,0.25
40,0.375
41,0.875
42,0.8125
43,0.3333333333333333
44,0.65
45,0.0
46,0.4
47,0.3333333333333333
48,0.875
49,0.375
50,0.65
51,0.65
52,0.65
53,0.8
54,0.3333333333333333
